category,idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
Unknown,487,300g 크림브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=487,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:50:52.258929,crawled_products/idx_487.json
Unknown,490,660g 크림브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=490,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:50:04.118217,crawled_products/idx_490.json
Unknown,491,450g 크림브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=491,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:47:27.771670,crawled_products/idx_491.json
Bottle,572,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=572,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:54:08.875314,crawled_products/idx_572.json
Bottle,573,45ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=573,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:51:12.585535,crawled_products/idx_573.json
Bottle,574,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=574,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:37:42.111566,crawled_products/idx_574.json
Bottle,575,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=575,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:31:40.847182,crawled_products/idx_575.json
Bottle,576,100ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=576,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:04:07.366602,crawled_products/idx_576.json
Bottle,577,60ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=577,성공,4,성공,"additional_2,unknown,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T12:34:31.721708,crawled_products/idx_577.json
Bottle,578,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=578,성공,4,성공,"additional_2,unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:36:16.214180,crawled_products/idx_578.json
Bottle,579,230ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=579,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:52:08.942700,crawled_products/idx_579.json
Bottle,580,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=580,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:54:35.581382,crawled_products/idx_580.json
Bottle,581,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=581,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T13:04:45.627359,crawled_products/idx_581.json
Bottle,582,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=582,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:53:13.755227,crawled_products/idx_582.json
