product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
BE300-R001,300ml 브로우용기,PE,51x191(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658115867.jpg,false,idx_21.json,crawled
BE350-H001,350ml 브로우용기,PE,7x48x194(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658306875.jpg|1658306875_1.jpg,false,idx_186.json,crawled
DE111-S002,1000ml 세제브로우용기,PE,91x60x261(mm)/Ø43,,Bottle/PE,,,,,,,3,ADD_GOODS2_1660007048.jpg|GOODS1_1660007048.jpg|ADD_GOODS1_1660007048.jpg,false,idx_485.json,crawled
BE120-H004(20),120ml 브로우용기,PE,60x32x132(mm)/Ø20,,Bottle/PE,,,,,,,2,GOODS1_1658307431.jpg|ADD_GOODS1_1658307431.jpg,false,idx_190.json,crawled
BE250-R003,250ml 브로우용기,PE,53x156(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658116660.jpg,false,idx_37.json,crawled
BE500-S005,500ml 브로우용기,PE,80x61x154(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658127128.jpg|1658127128_1.jpg,false,idx_128.json,crawled
BE200-R009,200ml 브로우용기,PE,62x108(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658119855.jpg|ADD_GOODS1_1658119855.jpg,false,idx_60.json,crawled
BE140-R001,140ml 브로우용기,PE,42x135(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658115680.jpg,false,idx_17.json,crawled
BE300-T001,300ml 브로우용기,PE,52x185(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124793.jpg,false,idx_108.json,crawled
BE300-R008,300ml 브로우용기,PE,60x169(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658119680.jpg|ADD_GOODS1_1658119680.jpg,false,idx_56.json,crawled
BE030-U001,30ml 브로우용기,PE,38x26x68(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658129390.jpg,false,idx_149.json,crawled
BE300-G005,300ml 브로우용기,PE,59x143(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124067.jpg,false,idx_95.json,crawled
BE500-S006,500ml 브로우용기,PE,108x55x123(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658127837.jpg|1658127837_1.jpg,false,idx_132.json,crawled
GE500-R001,500ml 거품브로우용기,PE,74x160(mm)/Ø43,,Bottle/PE,,,,,,,2,GOODS1_1659927389.jpg|ADD_GOODS1_1659927389.jpg,false,idx_427.json,crawled
BE300-U006,300ml 브로우용기,PE,83x60x131(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658132188.jpg,false,idx_165.json,crawled
BE190-K002,190ml 브로우용기,PE,58x32x167(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1703826013.jpg|ADD_GOODS1_1703826013.jpg,false,idx_866.json,crawled
TE070-K001,70ml 튜브브로우용기,PE,43x31x89(mm)/Ø18,,Bottle/PE,,,,,,,3,GOODS1_1660005361.jpg|ADD_GOODS1_1660005361.jpg|1660005361_1.jpg,false,idx_470.json,crawled
BE300-U012,300ml 브로우용기,PE,71x44x169(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658132912.jpg|1658132912_1.jpg,false,idx_173.json,crawled
TE150-U001,150ml 튜브브로우용기,PE,64x42x163(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1660005051.jpg,false,idx_466.json,crawled
BE160-S002,160ml 브로우용기,PE,51x40x120(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658126590.jpg,false,idx_124.json,crawled
BE050-G002,50ml 브로우용기,PE,32x90(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658123305.jpg,false,idx_83.json,crawled
GE500-G002,500ml 거품브로우용기,PE,62x198(mm)/Ø43,,Bottle/PE,,,,,,,1,GOODS1_1659927545.jpg,false,idx_431.json,crawled
BE480-S002,480ml 브로우용기,PE,71x47x187(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658126632.jpg|1658126632_1.jpg,false,idx_125.json,crawled
BE030-G002,30ml 브로우용기,PE,30x72(mm)/Ø24,,Bottle/PE,,,,,,,4,ADD_GOODS2_165812321920250827142834.jpg|ADD_GOODS3_165812321920250827142834.jpg|GOODS1_165812321920250827142834.jpg|ADD_GOODS1_165812321920250827142834.jpg,false,idx_82.json,crawled
GE500-G001,500ml 거품브로우용기,PE,63x198(mm)/Ø43,,Bottle/PE,,,,,,,1,GOODS1_1659927508.jpg,false,idx_430.json,crawled
BE400-U011,400ml 브로우용기,PE,99x57x147(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658132814.jpg|1658132814_1.jpg,false,idx_172.json,crawled
TE200-U001,200ml 튜브브로우용기,PE,64x46x181(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1660005094.jpg,false,idx_467.json,crawled
BE220-U006,220ml 브로우용기,PE,77x55x122(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658132153.jpg,false,idx_164.json,crawled
TE110-K001,110ml 튜브브로우용기,PE,48x32x130(mm)/Ø18,,Bottle/PE,,,,,,,3,GOODS1_1660005459.jpg|ADD_GOODS1_1660005459.jpg|1660005459_1.jpg,false,idx_471.json,crawled
BE250-G005,250ml 브로우용기,PE,54x141(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658124027.jpg|ADD_GOODS1_1658124027.jpg,false,idx_94.json,crawled
BE500-S007,500ml 브로우용기,PE,60x60x202(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658127961.jpg|1658127961_1.jpg,false,idx_133.json,crawled
BE500-M001,500ml 브로우용기,PE,90x55x213(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658129076.jpg|1658129076_1.jpg,false,idx_148.json,crawled
BE500-R008,500ml 브로우용기,PE,75x178(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658119728.jpg,false,idx_57.json,crawled
BE100-R004,100ml 브로우용기,PE,40x117(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658116961.jpg,false,idx_41.json,crawled
BE500-T001,500ml 브로우용기,PE,63x200(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124833.jpg,false,idx_109.json,crawled
GE150-G001,150ml 거품브로우용기,PE,50x130(mm)/Ø43,,Bottle/PE,,,,,,,1,GOODS1_1658475237.jpg,false,idx_365.json,crawled
BE100-R001,100ml 브로우용기,PE,38x121(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658115609.jpg,false,idx_16.json,crawled
BE550-C009,550ml 브로우용기,PE,97x57x194(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658393560.jpg|1658393560_1.jpg,false,idx_277.json,crawled
BE900-S005,900ml 브로우용기,PE,98x71x189(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658127246.jpg|1658127246_1.jpg,false,idx_129.json,crawled
BE300-R009,300ml 브로우용기,PE,72x119(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658119989.jpg,false,idx_61.json,crawled
DE600-S002,600ml 세제브로우용기,PE,90x61x179(mm)/Ø43,,Bottle/PE,,,,,,,3,ADD_GOODS2_1660006997.jpg|GOODS1_1660006997.jpg|ADD_GOODS1_1660006997.jpg,false,idx_484.json,crawled
BE111-R003(28),1000ml 브로우용기,PE,80x253(mm)/Ø28,,Bottle/PE,,,,,,,4,ADD_GOODS2_1746684220.jpg|ADD_GOODS3_1746684220.jpg|GOODS1_1746684220.jpg|ADD_GOODS1_1746684220.jpg,false,idx_938.json,crawled
BE150-Q001,150ml 브로우용기,PE,66x36x118(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658307535.jpg|ADD_GOODS1_1658307535.jpg,false,idx_191.json,crawled
BE750-R002,750ml 브로우용기,PE,78x194(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658116587.jpg|ADD_GOODS1_1658116587.jpg,false,idx_36.json,crawled
BE250-R001,250ml 브로우용기,PE,49x170(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658115810.jpg|ADD_GOODS1_1658115810.jpg,false,idx_20.json,crawled
